device_id,sequence_unbalance_factors.M2_mag
232,0.8519719625399046
448,0.2499269033136607
223,0.2288092877743402
169,0.2201747742619749
215,0.1620374410600812
400,0.1603531681671993
285,0.1541962431025259
36,0.1412575688345337
317,0.132934414508823
293,0.1213762167928071
29,0.097833603544459
20,0.0955598464706389
338,0.0898568916334342
177,0.0892015406814532
149,0.0815566206631574
4,0.0734450423063777
161,0.073041737950497
202,0.072515176127735
348,0.0713225432584359
12,0.0606987788337123
253,0.0606466631472234
272,0.0591074842991504
365,0.057409107816051
309,0.0563341084561949
440,0.0560891735022293
328,0.0493627998291713
280,0.0472058057171294
261,0.0469165119339391
301,0.0444842210902835
240,0.0413649009955456
354,0.0186891083989024
323,0.0020455159713493
324,0.0009346248252473
