device_id,vuf_magnitude
375,0.3929562327372907
377,0.3925179864137586
361,0.3922337321344863
344,0.0063719663838984
456,0.0060862284641956
457,0.0060862284641956
460,0.0060862284641956
461,0.0060862284641956
462,0.0060299370655408
333,0.0060079077854354
335,0.0059477862706878
334,0.0053372827307166
448,0.0052006696696315
449,0.0052006696696315
452,0.0052006696696315
453,0.0052006696696315
338,0.0050099880507738
339,0.0050099880507738
342,0.0050099880507738
343,0.0050099880507738
371,0.0020926317120732
285,0.0020520781017271
286,0.0020520781017271
289,0.0020520781017271
290,0.0020520781017271
373,0.0019988056028346
12,0.0019633648819118
13,0.0019633648819118
16,0.0019633648819118
17,0.0019633648819118
309,0.0019571342228282
310,0.0019571342228282
313,0.0019571342228282
314,0.0019571342228282
261,0.0019554382332442
262,0.0019554382332442
265,0.0019554382332442
266,0.0019554382332442
268,0.0019554382332442
269,0.0019554382332442
202,0.0019425466586759
203,0.0019425466586759
365,0.0019078519516379
366,0.0019078519516379
4,0.0018980787841491
5,0.0018980787841491
8,0.0018980787841491
9,0.0018980787841491
124,0.0018627306721584
125,0.0018627306721584
128,0.0018627306721584
129,0.0018627306721584
130,0.0018627306721584
131,0.0018627306721584
369,0.0018516595396205
301,0.0018225917586449
302,0.0018225917586449
305,0.0018225917586449
306,0.0018225917586449
223,0.0017836834821928
224,0.0017836834821928
227,0.0017836834821928
228,0.0017836834821928
272,0.0017704220464001
273,0.0017704220464001
276,0.0017704220464001
277,0.0017704220464001
348,0.0017543054379951
349,0.0017543054379951
317,0.0017528619083917
318,0.0017528619083917
321,0.0017528619083917
322,0.0017528619083917
169,0.0016480608243807
170,0.0016480608243807
173,0.0016480608243807
174,0.0016480608243807
328,0.0016320388757032
329,0.0016320388757032
20,0.0015799510513111
21,0.0015799510513111
24,0.0015799510513111
25,0.0015799510513111
134,0.0015565409559487
400,0.0015561131013443
401,0.0015561131013443
404,0.0015561131013443
405,0.0015561131013443
177,0.001530077855782
178,0.001530077855782
181,0.001530077855782
182,0.001530077855782
29,0.0015063799814634
30,0.0015063799814634
33,0.0015063799814634
34,0.0015063799814634
253,0.0014631063034995
254,0.0014631063034995
257,0.0014631063034995
258,0.0014631063034995
388,0.0014544090236415
385,0.0014254669677201
436,0.0014144421656632
430,0.0014015563204468
280,0.0013675741257176
281,0.0013675741257176
293,0.0013557775239364
294,0.0013557775239364
297,0.0013557775239364
298,0.0013557775239364
215,0.0013068936372913
216,0.0013068936372913
219,0.0013068936372913
220,0.0013068936372913
379,0.0012960865589159
368,0.0012756952024578
149,0.001268457124047
150,0.001268457124047
153,0.001268457124047
154,0.001268457124047
354,0.0012608915111565
355,0.0012608915111565
358,0.0012608915111565
359,0.0012608915111565
36,0.0012485775751766
37,0.0012485775751766
378,0.0012366938786474
380,0.0012171263993811
132,0.0012019796694753
370,0.0011274205762025
408,0.0011188484391627
409,0.0011188484391627
412,0.0011188484391627
413,0.0011188484391627
111,0.0010858362520327
112,0.0010858362520327
114,0.0010858362520327
115,0.0010858362520327
117,0.0010858362520327
118,0.0010858362520327
119,0.0010858362520327
120,0.0010858362520327
386,0.0010727126646937
381,0.0010553718072661
431,0.0010496374705234
161,0.0010404767132467
162,0.0010404767132467
165,0.0010404767132467
166,0.0010404767132467
1,0.0010108697295616
376,0.0010090550689653
42,0.0009610744031339
390,0.0009489179998189
382,0.0009405857229343
133,0.0009242305926203
240,0.0009172730261946
241,0.0009172730261946
244,0.0009172730261946
245,0.0009172730261946
387,0.0008881551567068
389,0.0008854446107623
395,0.0008585691932333
391,0.0008420968591376
383,0.0008308198288098
229,0.0007907258933418
146,0.0007870312748485
440,0.0007839046252545
441,0.0007839046252545
232,0.0007828893042879
233,0.0007828893042879
236,0.0007828893042879
237,0.0007828893042879
394,0.0007346907974998
332,0.0007055295136733
145,0.0006940116979921
156,0.0006503652909995
155,0.0006406280063845
362,0.0005723765818152
392,0.000569490732076
443,0.0005401848451742
331,0.0005338169640684
324,0.0004996979718421
144,0.0004830230532209
384,0.0004536917620185
323,0.0004489669171539
248,0.0004356148798897
249,0.0004356148798897
360,0.0003080656621926
157,0.0002258681162295
372,0.0001715513765925
