device_id,neutral_from_trms_120deg
262,32659.149169400152
361,219.08707523730536
156,149.37221611761117
377,140.64099535478488
155,122.64295775178906
245,112.56091347278785
386,95.25899278590173
232,93.2590377200706
388,85.2357692873757
378,83.5924207888079
293,82.64135172578122
360,78.38183555449358
150,67.54887584832595
391,64.45130051331255
375,64.39719383866647
249,60.70173550083626
440,57.98047999242458
297,56.590386371837056
248,55.95356359317057
338,54.02158688184247
253,50.58654489187929
273,46.42082300711481
241,44.74175220815985
329,44.53432785899456
42,42.192337703636575
111,41.93511207111955
387,40.7830108135691
132,40.445638143422165
395,40.21984445257076
266,39.89438060326267
305,39.5434725667838
390,39.46038080543067
409,38.64775190182273
376,35.88567333165521
317,35.469860456849126
370,34.5554065127052
134,34.53758242089732
342,34.38964710838259
460,33.55310021842281
153,33.349314852555594
157,31.933652790638376
5,31.784845239347103
294,31.783014404168004
394,30.510948786012325
385,29.738388200094946
380,29.26466981953322
257,29.074390266338984
36,29.071892150691703
401,28.479845939241724
202,27.681511090126666
21,27.52706884916749
332,27.482386453583587
29,26.969543615801093
149,26.84942863649301
355,26.65190806544741
368,26.617399948357544
462,26.20876491434275
162,26.190935452192974
371,25.917199328894867
339,25.645515409111976
381,25.450992686792933
161,25.024712502679638
240,24.52379476249748
4,24.10787305858664
456,23.830884251741207
145,23.591143516065284
389,23.503033544188487
382,23.42000925816725
30,22.76784841886742
333,22.760001385094217
372,21.21543328674138
265,21.16844678331806
310,20.77194210992012
224,19.96274468547032
16,19.30354403240448
384,19.293562716267243
461,18.00002077901191
229,17.925276189500092
129,17.002492334705558
124,16.668791813290003
128,16.659115922820263
223,16.541966198204207
277,16.49609144051152
408,16.49010122462157
146,15.937169502873386
436,15.640255080200314
400,14.89803331971316
392,14.83668594061341
8,14.252894448459177
404,13.88611894879432
169,13.749928773717812
261,13.718226408591578
115,13.45263914446796
112,13.307366359226563
448,12.787480418848562
125,12.706040050012136
321,12.532978872689071
215,12.532084711592166
328,12.434180768907035
133,12.282213802488318
362,11.926249319586589
37,11.780753840812622
344,11.385135503068152
453,10.859780119004755
302,10.75341592634728
170,10.392864780703508
114,10.237526267513044
286,9.538691533102591
298,9.130764092784377
449,9.116664376061276
334,8.751829224137383
24,8.627218885206121
131,8.49282594423493
20,8.436595487330573
254,8.271403629500593
335,8.262554918196141
301,8.156295855949882
130,8.149585999286272
349,7.44436029852473
280,6.9599049674082565
309,6.919311675543803
285,6.683211109262529
1,6.595220799480639
216,6.079548608054938
177,5.6429379604664245
144,5.315371489087968
12,5.240627081451137
281,5.191831765651592
354,5.121659275456488
383,5.092567281190543
119,5.071617227357939
348,4.828961472641006
118,4.510007518744273
120,4.231504782685198
117,4.078841788716648
272,2.9189785981622807
366,1.8055903830238995
365,1.6291569445919607
369,1.2429962456460488
331,1.0962150409805085
318,0.9616241631980889
443,0.5475642418003577
323,0.4537839837005103
324,0.2384263306845352
431,0.0756449732776567
358,0.0639428737428476
373,0.0518934204807796
379,0.0356207092277498
430,0.0200249760095405
457,0.0188496420520384
236,0.0065688360571793
452,0.0012269739016178
244,7.741250191194303e-05
237,4.921764936206647e-05
233,4.232995368161915e-06
9,0.0
13,0.0
17,0.0
25,0.0
33,0.0
34,0.0
154,0.0
165,0.0
166,0.0
173,0.0
174,0.0
178,0.0
181,0.0
182,0.0
203,0.0
219,0.0
220,0.0
227,0.0
228,0.0
258,0.0
268,0.0
269,0.0
276,0.0
289,0.0
290,0.0
306,0.0
313,0.0
314,0.0
322,0.0
343,0.0
359,0.0
405,0.0
412,0.0
413,0.0
441,0.0
