device_id,cur_ratio
8,100.0
153,100.0
233,100.0
244,100.0
249,100.0
257,100.0
277,100.0
298,100.0
302,100.0
305,100.0
318,100.0
321,100.0
339,100.0
349,100.0
358,100.0
366,100.0
286,99.99707736544586
236,99.95574606201733
461,99.44749069671175
237,99.39305738870692
449,99.31887896343169
453,99.09954890711464
24,93.99169453398038
245,89.29428209851429
232,85.14919449592252
404,82.46410746688036
331,79.9168569869873
329,76.4348305420764
401,74.39789877208447
294,68.50331729711758
5,68.22537463045727
224,66.62121000879635
297,66.59600079121188
273,66.10688295772947
150,62.64896683524235
262,59.23750283251091
265,58.11290971581208
30,55.40359209639415
170,55.38523394701764
21,54.62746638824181
16,52.91625394481666
361,46.39305623459527
409,45.25799974709084
241,35.94926225171932
342,31.368408016031164
266,30.70351675200396
162,28.93688811765761
460,27.597288963412197
310,27.253980295070967
377,26.609392476023974
448,21.862149198955883
457,20.706028519780943
371,19.3893869138782
355,19.09904037101252
129,18.71357360861603
223,18.584772372699035
169,17.45446913970717
317,17.256157983164126
215,16.62520595767685
332,16.476318570553566
375,16.474098763325337
37,16.444506550595847
128,16.162840848706537
281,14.718500210344097
462,14.070647511932965
130,13.992249484109529
155,13.451424331892133
388,13.190779459751012
125,12.885285306925564
157,12.615948199360956
293,12.262175625553622
285,11.853125388904706
112,11.759449619005885
216,11.66991557945631
333,11.513859696268256
362,11.446676156385
156,11.260733808098992
348,11.25518449212521
254,11.057274621637337
115,10.878782860168252
400,10.823062024200278
376,10.750809273097124
36,10.504528169723333
131,10.347317523060488
338,9.992231906057327
391,9.436830732264667
248,9.42599221634688
386,8.65651349315165
387,8.362792059306436
370,8.182604490380715
145,7.874218620178794
385,7.859629741099128
368,7.770678011000333
132,7.465315082043922
229,7.416412958243828
29,7.277231017619548
380,7.150036564248126
372,7.085022355200918
114,7.068619370149526
443,7.06209437799092
360,6.666656948826379
4,6.297370588555936
161,6.192474692114558
381,6.125838514884237
253,6.085606637743325
390,6.000977600815541
202,5.846408830587071
42,5.718783297593448
111,5.577974495961644
177,5.566599662878048
119,5.463150260244256
456,5.268651549993299
382,5.180715411662349
394,5.17258138133688
431,4.771215090605813
440,4.7585950408435895
149,4.585478142284051
328,4.365824164176268
379,4.293071133987815
20,4.120419703013313
240,3.812259268075684
334,3.717710355960052
430,3.534706422170691
408,3.528178269724217
146,3.493827055488643
124,3.484742166558416
395,3.4845257468012023
365,3.297947969896401
118,3.072965638807285
384,3.007047329057367
344,3.0063852922292367
120,2.9242928576019853
12,2.8884525144006545
117,2.8247733265193675
133,2.6375362509031253
335,2.4361326290483727
369,2.420284561814483
301,2.2605204322949755
280,2.255876147198728
373,2.039849049803464
309,1.967202827159045
144,1.9149511546407465
354,1.7391191041793723
389,1.731454200180475
261,1.4853305933079426
452,1.3655758897157084
383,1.335618822482467
392,1.2450766060291738
134,1.1593170871371696
436,1.1327699447658672
1,1.1214983377722951
378,0.9815546949676658
272,0.8087702382066304
323,0.0581589599797848
324,0.0338007904882448
9,0.0
13,0.0
17,0.0
25,0.0
33,0.0
34,0.0
154,0.0
165,0.0
166,0.0
173,0.0
174,0.0
178,0.0
181,0.0
182,0.0
203,0.0
219,0.0
220,0.0
227,0.0
228,0.0
258,0.0
268,0.0
269,0.0
276,0.0
289,0.0
290,0.0
306,0.0
313,0.0
314,0.0
322,0.0
343,0.0
359,0.0
405,0.0
412,0.0
413,0.0
441,0.0
