device_id,sequence_unbalance_factors.M0_mag
232,0.8534867353397884
223,0.2403375148545213
448,0.2097110618742071
169,0.1976765126420296
317,0.1913324445697009
348,0.183453203251153
215,0.1792414428751912
285,0.1681381425765493
338,0.1306350815673217
36,0.1199442800555824
400,0.1172161942870562
29,0.1149413513438164
293,0.1112929357403567
4,0.0842739969445802
149,0.0825245280797317
161,0.0802111054691316
177,0.0783519606989643
12,0.0774206666773087
328,0.0654463412798784
20,0.061565203007676
253,0.0556741253455987
309,0.0550674731435626
280,0.0546249137640295
272,0.0492551217808878
202,0.0468629746098177
240,0.0464764661868963
440,0.045543222579141
301,0.0365821101526404
261,0.0291223751191337
365,0.0209881123687104
354,0.0188819799997891
323,0.0013848172479263
324,0.0008724482969678
