device_id,name,description,serialNr,type,typeDisplayName,dnr_str,feeder,phase
296,D0383 SP1 L1 / Mod1,,48006054,Janitza800-CT8-A,800-CT8-A,D0383,SP1,L1
297,D0383 SP1 L1 / Mod1 / Measurement Group 1,Mod. 1,48006054,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0383,SP1,L1
298,D0383 SP1 L1 / Mod1 / Measurement Group 2,Mod. 1,48006054,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0383,SP1,L1
299,D0613 SP1 L1,D0613 Skeifan 11 SP1 L1,47002675,JanitzaUMG801,UMG 801,D0613,SP1,L1
300,D0613 SP1 L1 / UMG801-4700-2675,,47002675,JanitzaUMG801BaseModule,UMG801BaseModule,D0613,SP1,L1
301,D0613 SP1 L1 / UMG801-4700-2675 / Measurement Group 1,Basic Device of UMG801,47002675,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0613,SP1,L1
302,D0613 SP1 L1 / UMG801-4700-2675 / Measurement Group 2,Basic Device of UMG801,47002675,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0613,SP1,L1
303,D0613 SP1 L1 / UMG801-4700-2675 / Measurement Group 3,Basic Device of UMG801,47002675,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0613,SP1,L1
304,D0613 SP1 L1 / Mod1,,48007036,Janitza800-CT8-A,800-CT8-A,D0613,SP1,L1
305,D0613 SP1 L1 / Mod1 / Measurement Group 1,Mod. 1,48007036,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0613,SP1,L1
306,D0613 SP1 L1 / Mod1 / Measurement Group 2,Mod. 1,48007036,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0613,SP1,L1
307,D0613 SP2 L1,D0613 Skeifan 11 SP2 L1,47002812,JanitzaUMG801,UMG 801,D0613,SP2,L1
308,D0613 SP2 L1 / UMG801-4700-2812,,47002812,JanitzaUMG801BaseModule,UMG801BaseModule,D0613,SP2,L1
309,D0613 SP2 L1 / UMG801-4700-2812 / Measurement Group 1,Basic Device of UMG801,47002812,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0613,SP2,L1
310,D0613 SP2 L1 / UMG801-4700-2812 / Measurement Group 2,Basic Device of UMG801,47002812,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0613,SP2,L1
311,D0613 SP2 L1 / UMG801-4700-2812 / Measurement Group 3,Basic Device of UMG801,47002812,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0613,SP2,L1
312,D0613 SP2 L1 / Mod 1,,48007225,Janitza800-CT8-A,800-CT8-A,D0613,SP2,L1
313,D0613 SP2 L1 / Mod 1 / Measurement Group 1,Mod. 1,48007225,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0613,SP2,L1
314,D0613 SP2 L1 / Mod 1 / Measurement Group 2,Mod. 1,48007225,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0613,SP2,L1
315,D1454 SP1 L1,D1454 Álfabakki 4A SP1 L1,47002819,JanitzaUMG801,UMG 801,D1454,SP1,L1
316,D1454 SP1 L1 / UMG801-4700-2819,,47002819,JanitzaUMG801BaseModule,UMG801BaseModule,D1454,SP1,L1
317,D1454 SP1 L1 / UMG801-4700-2819 / Measurement Group 1,Basic Device of UMG801,47002819,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1454,SP1,L1
318,D1454 SP1 L1 / UMG801-4700-2819 / Measurement Group 2,Basic Device of UMG801,47002819,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1454,SP1,L1
319,D1454 SP1 L1 / UMG801-4700-2819 / Measurement Group 3,Basic Device of UMG801,47002819,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1454,SP1,L1
320,D1454 SP1 L1 / Mod 1,,48007217,Janitza800-CT8-A,800-CT8-A,D1454,SP1,L1
321,D1454 SP1 L1 / Mod 1 / Measurement Group 1,Mod. 1,48007217,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1454,SP1,L1
322,D1454 SP1 L1 / Mod 1 / Measurement Group 2,Mod. 1,48007217,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1454,SP1,L1
323,D1534 SP1 L1,D1534 Grjótháls 9 SP1 L1,4202-2983,JanitzaUMG512,UMG 512,D1534,SP1,L1
324,D1534 SP2 L1,D1534 Grjótháls 9 SP2 L1,4202-2969,JanitzaUMG512,UMG 512,D1534,SP2,L1
326,D1532 SP1 L1,D1532 Straumur 9 SP1 L1,47002672,JanitzaUMG801,UMG 801,D1532,SP1,L1
327,D1532 SP1 L1 / UMG801-4700-2672,,47002672,JanitzaUMG801BaseModule,UMG801BaseModule,D1532,SP1,L1
328,D1532 SP1 L1 / UMG801-4700-2672 / Measurement Group 1,Basic Device of UMG801,47002672,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1532,SP1,L1
329,D1532 SP1 L1 / UMG801-4700-2672 / Measurement Group 2,Basic Device of UMG801,47002672,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1532,SP1,L1
330,D1532 SP1 L1 / UMG801-4700-2672 / Measurement Group 3,Basic Device of UMG801,47002672,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1532,SP1,L1
331,D1551 SP1 L1,D1551 Drottning SP1 L1,1734-8165,JanitzaUMG96RME,UMG 96RM-E,D1551,SP1,L1
332,D1551 SP2 L1,D1551 Drottning SP2 L1,1731-5638,JanitzaUMG96RME,UMG 96RM-E,D1551,SP2,L1
333,D1049 SP2 L1,D1049 Beykiskógar 13 SP2 L1,1734-8168,JanitzaUMG96RME,UMG 96RM-E,D1049,SP2,L1
334,D1021 SP1 L1,D1021 Sjúkrahús SP1 L1,1731-6797,JanitzaUMG96RME,UMG 96RM-E,D1021,SP1,L1
335,D1019 SP1 L1,D1019 Garðabraut 12 SP1 L1,4100-5278,JanitzaUMG509,UMG 509,D1019,SP1,L1
336,D1030 SP1 L1,D1030 Jörundarholt 133 SP1 L1,47007801,JanitzaUMG801,UMG 801,D1030,SP1,L1
337,D1030 SP1 L1 / UMG801-4700-7801,,47007801,JanitzaUMG801BaseModule,UMG801BaseModule,D1030,SP1,L1
338,D1030 SP1 L1 / UMG801-4700-7801 / Measurement Group 1,Basic Device of UMG801,47007801,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1030,SP1,L1
339,D1030 SP1 L1 / UMG801-4700-7801 / Measurement Group 2,Basic Device of UMG801,47007801,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1030,SP1,L1
340,D1030 SP1 L1 / UMG801-4700-7801 / Measurement Group 3,Basic Device of UMG801,47007801,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1030,SP1,L1
341,D1030 SP1 L1 / Mod. 1,Mod. 1,48014023,Janitza800-CT8-A,800-CT8-A,D1030,SP1,L1
342,D1030 SP1 L1 / Mod. 1 / Measurement Group 1,Mod. 1,48014023,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1030,SP1,L1
343,D1030 SP1 L1 / Mod. 1 / Measurement Group 2,Mod. 1,48014023,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1030,SP1,L1
344,D1046 SP2 L1,D1046 Dalbraut1 SP2 L1,7200-0335,JanitzaUMG605,UMG 605,D1046,SP2,L1
346,D0662 SP2 L1,D0662 Skútuvogur 14 SP2 L1,47007805,JanitzaUMG801,UMG 801,D0662,SP2,L1
347,D0662 SP2 L1 / UMG801-4700-7805,Basic Device of UMG801,47007805,JanitzaUMG801BaseModule,UMG801BaseModule,D0662,SP2,L1
348,D0662 SP2 L1 / UMG801-4700-7805 / Measurement Group 1,Basic Device of UMG801,47007805,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0662,SP2,L1
349,D0662 SP2 L1 / UMG801-4700-7805 / Measurement Group 2,Basic Device of UMG801,47007805,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0662,SP2,L1
350,D0662 SP2 L1 / UMG801-4700-7805 / Measurement Group 3,Basic Device of UMG801,47007805,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0662,SP2,L1
352,D1554 SP1 L1,D1554 Hestháls 14 Syðri SP1 L1,47002669,JanitzaUMG801,UMG 801,D1554,SP1,L1
353,D1554 SP1 L1 / UMG801-4700-2669,Basic Device of UMG801,47002669,JanitzaUMG801BaseModule,UMG801BaseModule,D1554,SP1,L1
354,D1554 SP1 L1 / UMG801-4700-2669 / Measurement Group 1,Basic Device of UMG801,47002669,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1554,SP1,L1
355,D1554 SP1 L1 / UMG801-4700-2669 / Measurement Group 2,Basic Device of UMG801,47002669,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1554,SP1,L1
356,D1554 SP1 L1 / UMG801-4700-2669 / Measurement Group 3,Basic Device of UMG801,47002669,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1554,SP1,L1
357,D1554 SP1 L1 / Mod. 1,Mod. 1,48007221,Janitza800-CT8-A,800-CT8-A,D1554,SP1,L1
358,D1554 SP1 L1 / Mod. 1 / Measurement Group 1,Mod. 1,48007221,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1554,SP1,L1
359,D1554 SP1 L1 / Mod. 1 / Measurement Group 2,Mod. 1,48007221,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1554,SP1,L1
360,D1441 SP1 L1,D1441 Sæmundargata 19 SP1 L1,1734-4477,JanitzaUMG96RME,UMG 96RM-E,D1441,SP1,L1
361,D1398 SP1 L1,D1398 Faxagarður vaktskýli SP1 L1,1731-9952,JanitzaUMG96RME,UMG 96RM-E,D1398,SP1,L1
362,D1398 SP2 L1,D1398 Faxagarður vaktskýli SP2 L1,1734-4472,JanitzaUMG96RME,UMG 96RM-E,D1398,SP2,L1
363,D1528 SP1 L1,D1528 Fjallkonuvegur 1 SP1 L1,47002815,JanitzaUMG801,UMG 801,D1528,SP1,L1
364,D1528 SP1 L1 / UMG801-4700-2815,Basic Device of UMG801,47002815,JanitzaUMG801BaseModule,UMG801BaseModule,D1528,SP1,L1
365,D1528 SP1 L1 / UMG801-4700-2815 / Measurement Group 1,Basic Device of UMG801,47002815,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1528,SP1,L1
366,D1528 SP1 L1 / UMG801-4700-2815 / Measurement Group 2,Basic Device of UMG801,47002815,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1528,SP1,L1
367,D1528 SP1 L1 / UMG801-4700-2815 / Measurement Group 3,Basic Device of UMG801,47002815,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1528,SP1,L1
368,D1341 SP1 L1,D1341 Lambhagavegur 7A SP1 L1,1727-5207,JanitzaUMG96RME,UMG 96RM-E,D1341,SP1,L1
369,D1390 SP1 L1,D1390 Lyngháls 7 SP1 L1,1743-5398,JanitzaUMG96RME,UMG 96RM-E,D1390,SP1,L1
370,D1357 SP1 L1,D1357 Krókháls 13A SP1 L1,1726-5236,JanitzaUMG96RME,UMG 96RM-E,D1357,SP1,L1
371,D1340 SP1 L1,D1340 Lambhagavegur 11A SP1 L1,1726-5239,JanitzaUMG96RME,UMG 96RM-E,D1340,SP1,L1
372,D1418 SP1 L1,D1418 Sunnukriki 4 SP1 L1,4100-5268,JanitzaUMG509,UMG 509,D1418,SP1,L1
373,D1365 SP1 L1,D1365 Lyngháls 4 SP1 L1,1743-5370,JanitzaUMG96RME,UMG 96RM-E,D1365,SP1,L1
375,D1416 SP1 L1,D1416 Jöfursbás 4A SP1 L1,1737-7847,JanitzaUMG96RME,UMG 96RM-E,D1416,SP1,L1
376,D1405 SP1 L1,D1405 Auðbrekka 3A SP1 L1,1735-6600,JanitzaUMG96RME,UMG 96RM-E,D1405,SP1,L1
377,D0579 SP1 L1,D0579 Ástún 2A SP1 L1,1726-5232,JanitzaUMG96RME,UMG 96RM-E,D0579,SP1,L1
378,D1133 SP1 L1,D1133 Urðarhvarf 10A SP1 L1,1727-9670,JanitzaUMG96RME,UMG 96RM-E,D1133,SP1,L1
379,D1133 SP2 L1,D1133 Urðarhvarf 10A SP2 L1,1743-5374,JanitzaUMG96RME,UMG 96RM-E,D1133,SP2,L1
380,D1248 SP1 L1,D1248 Skógarvegur 6A SP1 L1,1734-8167,JanitzaUMG96RME,UMG 96RM-E,D1248,SP1,L1
381,D1248 SP2 L1,D1248 Skógarvegur 6A SP2 L1,1737-7848,JanitzaUMG96RME,UMG 96RM-E,D1248,SP2,L1
382,D1354 SP2 L1,D1354 Sunnusmári 16-22 SP2 L1,1734-8215,JanitzaUMG96RME,UMG 96RM-E,D1354,SP2,L1
383,D1354 SP1 L1,D1354 Sunnusmári 16-22 SP1 L1,4100-5279,JanitzaUMG509,UMG 509,D1354,SP1,L1
384,D1396 SP1 L1,D1396 Bjarkarholt 22A SP1 L1,1727-5206,JanitzaUMG96RME,UMG 96RM-E,D1396,SP1,L1
385,D1364 SP2 L1,D1364 Hlíðarendi 14A SP2 L1,1727-9677,JanitzaUMG96RME,UMG 96RM-E,D1364,SP2,L1
386,D1364 SP1 L1,D1364 Hlíðarendi 14A SP1 L1,1727-9668,JanitzaUMG96RME,UMG 96RM-E,D1364,SP1,L1
387,D1400 SP1 L1,D1400 Hallgerðargata 13 SP1 L1,1731-5643,JanitzaUMG96RME,UMG 96RM-E,D1400,SP1,L1
388,D1399 SP1 L1,D1399 Borgartún 41 SP L1,1731-5640,JanitzaUMG96RME,UMG 96RM-E,D1399,SP1,L1
389,D1394 SP1 L1,D1394 Korngarðar 3 SP1 L1,1729-2295,JanitzaUMG96RME,UMG 96RM-E,D1394,SP1,L1
390,D1394 SP2 L1,D1394 Korngarðar 3 SP2 L1,1729-4792,JanitzaUMG96RME,UMG 96RM-E,D1394,SP2,L1
391,D1383 SP1 L1,D1383 Hafnarbraut 15 SP1 L1,1734-8159,JanitzaUMG96RME,UMG 96RM-E,D1383,SP1,L1
392,D1413 SP1 L1,D1413 Norðurgarður 1 SP1 L1,1729-4798,JanitzaUMG96RME,UMG 96RM-E,D1413,SP1,L1
393,D0607 SP2 L1,D0607 Sílakvísl 8 SP1 L1,2703-0905 (Module: 4505-6222),JanitzaUMG96PQ_L,UMG 96-PQ-L,D0607,SP2,L1
394,D0055 SP1 L1,D0055 Tangarhöfði 6 SP1 L1,1737-7857,JanitzaUMG96RME,UMG 96RM-E,D0055,SP1,L1
395,D0055 SP2 L1,D0055 Tangarhöfði 6 SP2 L1,1739-7804,JanitzaUMG96RME,UMG 96RM-E,D0055,SP2,L1
396,D1435 SP1 L1,D1435 Bakkabraut 9A SP1 L1,2702-6865,JanitzaUMG96PQ_L,UMG 96-PQ-L,D1435,SP1,L1
397,D1424 SP1 L1,D1424 Skógarlind 2 SP1 L1,2702-6873 (Module: 4505-0301),JanitzaUMG96PQ_L,UMG 96-PQ-L,D1424,SP1,L1
398,D1482 SP1 L1,D1482 Hlíðarendi 1A SP1 L1,47028660,JanitzaUMG801,UMG 801,D1482,SP1,L1
399,D1482 SP1 L1 / UMG801-4702-8660,Basic Device of UMG801,47028660,JanitzaUMG801BaseModule,UMG801BaseModule,D1482,SP1,L1
400,D1482 SP1 L1 / UMG801-4702-8660 / Measurement Group 1,Basic Device of UMG801,47028660,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1482,SP1,L1
401,D1482 SP1 L1 / UMG801-4702-8660 / Measurement Group 2,Basic Device of UMG801,47028660,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1482,SP1,L1
402,D1482 SP1 L1 / UMG801-4702-8660 / Measurement Group 3,Basic Device of UMG801,47028660,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1482,SP1,L1
403,D1482 SP1 L1 / Mod. 1,Mod. 1,48007030,Janitza800-CT8-A,800-CT8-A,D1482,SP1,L1
404,D1482 SP1 L1 / Mod. 1 / Measurement Group 1,Mod. 1,48007030,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1482,SP1,L1
405,D1482 SP1 L1 / Mod. 1 / Measurement Group 2,Mod. 1,48007030,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1482,SP1,L1
406,D0246 SP1 L1,D0246 Skipholt 50B SP1 L!,47002679,JanitzaUMG801,UMG 801,D0246,SP1,L1
407,D0246 SP1 L1 / UMG801-4700-2679,Basic Device of UMG801,47002679,JanitzaUMG801BaseModule,UMG801BaseModule,D0246,SP1,L1
408,D0246 SP1 L1 / UMG801-4700-2679 / Measurement Group 1,Basic Device of UMG801,47002679,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0246,SP1,L1
409,D0246 SP1 L1 / UMG801-4700-2679 / Measurement Group 2,Basic Device of UMG801,47002679,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0246,SP1,L1
410,D0246 SP1 L1 / UMG801-4700-2679 / Measurement Group 3,Basic Device of UMG801,47002679,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0246,SP1,L1
411,D0246 SP1 L1 / Mod. 1,Mod. 1,48007034,Janitza800-CT8-A,800-CT8-A,D0246,SP1,L1
412,D0246 SP1 L1 / Mod. 1 / Measurement Group 1,Mod. 1,48007034,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0246,SP1,L1
413,D0246 SP1 L1 / Mod. 1 / Measurement Group 2,Mod. 1,48007034,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0246,SP1,L1
414,D1342 SP1 L1,D1342 Tónaharf 3A SP1 L1,1727-9653,JanitzaUMG96RME,UMG 96RM-E,D1342,SP1,L1
415,D1363 SP1 L1,D1363 Hlíðarendi 6A SP1 L1,1734-8176,JanitzaUMG96RME,UMG 96RM-E,D1363,SP1,L1
416,D1373 SP1 L1,D1373 Hverfisgata 40 SP1 L1,1727-9679,JanitzaUMG96RME,UMG 96RM-E,D1373,SP1,L1
417,D1373 SP2 L1,D1373 Hverfisgata 40 SP2 L1,1727-9675,JanitzaUMG96RME,UMG 96RM-E,D1373,SP2,L1
418,D1381 SP1 L1,D1381 Hverfisgata 85-93 SP1 L1,1727-9676,JanitzaUMG96RME,UMG 96RM-E,D1381,SP1,L1
419,D1423 SP1 L1,D1423 Vallarstræti 4 SP1 L1,1734-4492,JanitzaUMG96RME,UMG 96RM-E,D1423,SP1,L1
429,D1345 SP1 L1,D1345 Gylfaflöt 14 SP1 L1,2702-6867,JanitzaUMG96PQ_L,UMG 96-PQ-L,D1345,SP1,L1
430,D1358 SP1 L1,D1358 Turnahvarf 2A SP1 L1,2703-0119 (Module: 4505-6212),JanitzaUMG96PQ_L,UMG 96-PQ-L,D1358,SP1,L1
431,D1363 SP2 L1,D1363 Hlíðarendi 6A SP2 L1,2702-6857 (Module: 4505-6210),JanitzaUMG96PQ_L,UMG 96-PQ-L,D1363,SP2,L1
433,D1422 SP1 L1,D1422 Koparslétta 6-8 SP1 L1,1735-6596,JanitzaUMG96RME,UMG 96RM-E,D1422,SP1,L1
434,D1433 SP1 L1,D1433 Kalkslétta 1 SP1 L1,1731-9949,JanitzaUMG96RME,UMG 96RM-E,D1433,SP1,L1
435,D0707 SP2 L1,D0707 Borgarsjúkrahús SP2 L1,1727-9657,JanitzaUMG96RME,UMG 96RM-E,D0707,SP2,L1
436,D0707 SP1 L1,D0707 SP1 L1,2703-0127 (Module: 4505-6208),JanitzaUMG96PQ_L,UMG 96-PQ-L,D0707,SP1,L1
437,D0403 SP1 L1,D0403 Kleppsvegur 120 SP1 L1,2703-0120,JanitzaUMG96PQ_L,UMG 96-PQ-L,D0403,SP1,L1
438,D0604 SP2 L1,D0604 Listabraut 3 SP2 L1,47007811,JanitzaUMG801,UMG 801,D0604,SP2,L1
439,D0604 SP2 L1 / UMG801-4700-7811,Basic Device of UMG801,47007811,JanitzaUMG801BaseModule,UMG801BaseModule,D0604,SP2,L1
440,D0604 SP2 L1 / UMG801-4700-7811 / Device-3,Basic Device of UMG801,47007811,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0604,SP2,L1
441,D0604 SP2 L1 / UMG801-4700-7811 / Device-4,Basic Device of UMG801,47007811,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0604,SP2,L1
442,D0604 SP2 L1 / UMG801-4700-7811 / Device-5,Basic Device of UMG801,47007811,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0604,SP2,L1
443,D1507 SP1 L1,D1507 Sandskeið SP1 L1,2702-5298 (Module: 4505-0919),JanitzaUMG96PQ_L,UMG 96-PQ-L,D1507,SP1,L1
444,Device-444,,4203-0837,JanitzaUMG512,UMG 512,,,
445,D1440 SP1 L1,D1440 Bitruháls 2 SP1 L1,2703-0125 (Module: 4505-6232),JanitzaUMG96PQ_L,UMG 96-PQ-L,D1440,SP1,L1
446,D1056 SP1 L1,D1056 SP1 L1 Sementsreitur I,47002674,JanitzaUMG801,UMG 801,D1056,SP1,L1
447,D1056 SP1 L1 / UMG801-4700-2674,Basic Device of UMG801,47002674,JanitzaUMG801BaseModule,UMG801BaseModule,D1056,SP1,L1
448,D1056 SP1 L1 / UMG801-4700-2674 / Measurement Group 1,Basic Device of UMG801,47002674,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1056,SP1,L1
449,D1056 SP1 L1 / UMG801-4700-2674 / Measurement Group 2,Basic Device of UMG801,47002674,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1056,SP1,L1
450,D1056 SP1 L1 / UMG801-4700-2674 / Measurement Group 3,Basic Device of UMG801,47002674,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1056,SP1,L1
451,D1056 SP1 L1 / Mod. 1,Mod. 1,48007024,Janitza800-CT8-A,800-CT8-A,D1056,SP1,L1
452,D1056 SP1 L1 / Mod. 1 / Measurement Group 1,Mod. 1,48007024,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1056,SP1,L1
453,D1056 SP1 L1 / Mod. 1 / Measurement Group 2,Mod. 1,48007024,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1056,SP1,L1
454,D1029 SP1 L1,D1029 SP1 L1 Lerkigrund 8,47002804,JanitzaUMG801,UMG 801,D1029,SP1,L1
455,D1029 SP1 L1 / UMG801-4700-2804,Basic Device of UMG801,47002804,JanitzaUMG801BaseModule,UMG801BaseModule,D1029,SP1,L1
456,D1029 SP1 L1 / UMG801-4700-2804 / Measurement Group 1,Basic Device of UMG801,47002804,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1029,SP1,L1
457,D1029 SP1 L1 / UMG801-4700-2804 / Measurement Group 2,Basic Device of UMG801,47002804,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1029,SP1,L1
458,D1029 SP1 L1 / UMG801-4700-2804 / Measurement Group 3,Basic Device of UMG801,47002804,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1029,SP1,L1
459,D1029 SP1 L1 / Mod. 1,Mod. 1,48007227,Janitza800-CT8-A,800-CT8-A,D1029,SP1,L1
460,D1029 SP1 L1 / Mod. 1 / Measurement Group 1,Mod. 1,48007227,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1029,SP1,L1
461,D1029 SP1 L1 / Mod. 1 / Measurement Group 2,Mod. 1,48007227,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1029,SP1,L1
462,D1025 SP1 L1,D1025 SP1 L1 Grenigrund 7A,1743-5402,JanitzaUMG96RME,UMG 96RM-E,D1025,SP1,L1
463,D1070 SP1L1,D1070 SP1L1 Smiðjuvellir 4,47007798,JanitzaUMG801,UMG 801,D1070,,
464,D1070 SP1L1 / UMG801-4700-7798,Basic Device of UMG801,47007798,JanitzaUMG801BaseModule,UMG801BaseModule,D1070,,
465,D1070 SP1L1 / UMG801-4700-7798 / Device-3,Basic Device of UMG801,47007798,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1070,,
466,D1070 SP1L1 / UMG801-4700-7798 / Device-4,Basic Device of UMG801,47007798,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1070,,
467,D1070 SP1L1 / UMG801-4700-7798 / Device-5,Basic Device of UMG801,47007798,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1070,,
468,D1070 SP1L1 / Mod. 1,Mod. 1,48014551,Janitza800-CT8-A,800-CT8-A,D1070,,
469,D1070 SP1L1 / Mod. 1 / Measurement Group 1,Mod. 1,48014551,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1070,,
470,D1070 SP1L1 / Mod. 1 / Measurement Group 2,Mod. 1,48014551,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1070,,
