device_id,name,description,serialNr,type,typeDisplayName,dnr_str,feeder,phase
145,D0074 SP1 L1,D0074 Tjarnargata 11 SP1 L1,1737-7850,JanitzaUMG96RME,UMG 96RM-E,D0074,SP1,L1
146,D0074 SP2 L1,D0074 Tjarnargata 11 SP2 L1,1743-3676,JanitzaUMG96RME,UMG 96RM-E,D0074,SP2,L1
147,D0841 SP1 L1,D0841 Þorláksgeisli 41A SP1 L1,47002312,JanitzaUMG801,UMG 801,D0841,SP1,L1
148,D0841 SP1 L1 / UMG801-4700-2312,,47002312,JanitzaUMG801BaseModule,UMG801BaseModule,D0841,SP1,L1
149,D0841 SP1 L1 / UMG801-4700-2312 / Measurement Group 1,Basic Device of UMG801,47002312,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0841,SP1,L1
150,D0841 SP1 L1 / UMG801-4700-2312 / Measurement Group 2,Basic Device of UMG801,47002312,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0841,SP1,L1
151,D0841 SP1 L1 / UMG801-4700-2312 / Measurement Group 3,Basic Device of UMG801,47002312,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0841,SP1,L1
152,D0841 SP1 L1 / Mod1,,48006053,Janitza800-CT8-A,800-CT8-A,D0841,SP1,L1
153,D0841 SP1 L1 / Mod1 / Measurement Group 1,Mod. 1,48006053,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0841,SP1,L1
154,D0841 SP1 L1 / Mod1 / Measurement Group 2,Mod. 1,48006053,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0841,SP1,L1
155,D1160 SP1 L1,D1160 Kvíslatunga SP1 L1,1743-5365,JanitzaUMG96RME,UMG 96RM-E,D1160,SP1,L1
156,D1159 SP1 L1,D1159 Kvíslatunga SP1 L1,1743-5376,JanitzaUMG96RME,UMG 96RM-E,D1159,SP1,L1
157,D1329 SP1 L1,D1329 Bugðufljót 3A SP1 L1,1743-5391,JanitzaUMG96RME,UMG 96RM-E,D1329,SP1,L1
159,D1496 SP1 L1,D1496 Silfursmári 2 SP1 L1,47002682,JanitzaUMG801,UMG 801,D1496,SP1,L1
160,D1496 SP1 L1 / UMG801-4700-2682,,47002682,JanitzaUMG801BaseModule,UMG801BaseModule,D1496,SP1,L1
161,D1496 SP1 L1 / UMG801-4700-2682 / Measurement Group 1,Basic Device of UMG801,47002682,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1496,SP1,L1
162,D1496 SP1 L1 / UMG801-4700-2682 / Device-162,Basic Device of UMG801,47002682,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1496,SP1,L1
163,D1496 SP1 L1 / UMG801-4700-2682 / Measurement Group 3,Basic Device of UMG801,47002682,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1496,SP1,L1
164,D1496 SP1 L1 / Mod 1,,48006050,Janitza800-CT8-A,800-CT8-A,D1496,SP1,L1
165,D1496 SP1 L1 / Mod 1 / Device-165,Mod. 1,48006050,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1496,SP1,L1
166,D1496 SP1 L1 / Mod 1 / Device-166,Mod. 1,48006050,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1496,SP1,L1
167,D1457 SP1 L1,D1457 Naustavogur SP1 L1,47002422,JanitzaUMG801,UMG 801,D1457,SP1,L1
168,D1457 SP1 L1 / UMG801-4700-2422,,47002422,JanitzaUMG801BaseModule,UMG801BaseModule,D1457,SP1,L1
169,D1457 SP1 L1 / UMG801-4700-2422 / Measurement Group 1,Basic Device of UMG801,47002422,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1457,SP1,L1
170,D1457 SP1 L1 / UMG801-4700-2422 / Measurement Group 2,Basic Device of UMG801,47002422,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1457,SP1,L1
171,D1457 SP1 L1 / UMG801-4700-2422 / Measurement Group 3,Basic Device of UMG801,47002422,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1457,SP1,L1
172,D1457 SP1 L1 / Mod 1,,48007029,Janitza800-CT8-A,800-CT8-A,D1457,SP1,L1
173,D1457 SP1 L1 / Mod 1 / Measurement Group 1,Mod. 1,48007029,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1457,SP1,L1
174,D1457 SP1 L1 / Mod 1 / Measurement Group 2,Mod. 1,48007029,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1457,SP1,L1
175,D1457 SP2 L1,D1457 Naustavogur SP2 L1,47002680,JanitzaUMG801,UMG 801,D1457,SP2,L1
176,D1457 SP2 L1 / UMG801-4700-2680,,47002680,JanitzaUMG801BaseModule,UMG801BaseModule,D1457,SP2,L1
177,D1457 SP2 L1 / UMG801-4700-2680 / Measurement Group 1,Basic Device of UMG801,47002680,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1457,SP2,L1
178,D1457 SP2 L1 / UMG801-4700-2680 / Measurement Group 2,Basic Device of UMG801,47002680,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1457,SP2,L1
179,D1457 SP2 L1 / UMG801-4700-2680 / Measurement Group 3,Basic Device of UMG801,47002680,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1457,SP2,L1
180,D1457 SP2 L1 / Mod 1,,48007035,Janitza800-CT8-A,800-CT8-A,D1457,SP2,L1
181,D1457 SP2 L1 / Mod 1 / Measurement Group 1,Mod. 1,48007035,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1457,SP2,L1
182,D1457 SP2 L1 / Mod 1 / Measurement Group 2,Mod. 1,48007035,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1457,SP2,L1
200,D1525 SP1 L1,D1525 Dalvegur 30 SP1 L1,47002316,JanitzaUMG801,UMG 801,D1525,SP1,L1
201,D1525 SP1 L1 / UMG801-4700-2316,,47002316,JanitzaUMG801BaseModule,UMG801BaseModule,D1525,SP1,L1
