device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,Ia_label,Ib_label,Ic_label,cur_dev_ratio,cur_ratio,current_unbalance_rms,dib,neutral_from_trms_120deg,neutral_from_trms_and_pf,phase_unbalance_metrics.UC,phase_unbalance_metrics.Unbalance_a,phase_unbalance_metrics.Unbalance_b,phase_unbalance_metrics.Unbalance_c,sequence_unbalance_factors.I0,sequence_unbalance_factors.I1,sequence_unbalance_factors.I2,sequence_unbalance_factors.M0,sequence_unbalance_factors.M0_angle_deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2,sequence_unbalance_factors.M2_angle_deg,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
1,D0029 SP1 L2,2025-09-01 12:00,2025-10-01 12:00,15m,228.28876682387457,220.7264891465505,225.28602675331965,L1,L2,L3,0.5992284455364374,1.1214983377722951,5.384975233236213,0.005222698922358578,6.595220799480639,,1.0001913289567606,1.0156680967670757,0.9820231466339069,1.0023087565990172,,,,,,,,,,,
4,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,159.9642208737661,132.2316344122537,148.18773134790285,Input01,Input02,Input03,3.30686585688449,6.297370588555936,19.68399592577569,0.029905047316714464,24.107873058586637,,1.0059935694121371,1.0897151419501434,0.9007940242934653,1.0094908337563913,,,,,,,,,,,
12,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,69.12461676862505,66.64334143665101,72.66379361285104,Input01,Input02,Input03,1.5288184161063825,2.8884525144006545,4.278954093922455,0.015288184161063825,5.240627081451137,,1.0012643541892192,0.9949244704656369,0.9592109770511719,1.0458645524831915,,,,,,,,,,,
20,D0411 SP2 L1 / D0411 Grensásvegur 1 SP2 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,71.50137159691917,78.11130366590288,81.00373562971751,Input01,Input02,Input03,2.3288738847658617,4.120419703013313,6.888451370075739,0.01791545818247451,8.436595487330573,,1.0026766034323278,0.9301337834570241,1.0161198419955522,1.0537463745474236,,,,,,,,,,,
29,D0690 SP1 L1 / D0690 Arnarsmári 28 SP1 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,130.42490315147472,123.7911459010854,153.45856970852967,Input01,Input02,Input03,4.309081142918677,7.277231017619548,22.020540151482443,0.04309081142918677,26.969543615801093,,1.0087528571923081,0.9597720619534656,0.9109555037589739,1.1292724342875602,,,,,,,,,,,
36,D0690 SP2 L1 / D0690 Arnarsmári 28 SP2 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,121.08766036780604,108.12023926443754,87.78866675464012,Input01,Input02,Input03,5.639447637581985,10.504528169723331,23.73710054213927,0.04865080532141345,29.071892150691706,,1.0168216067965714,1.1459524159642402,1.023231013163219,0.8308165708725405,,,,,,,,,,,
42,D0076 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,285.46627408486825,276.78765923535383,239.60944512861747,L1,L2,L3,3.451753556971843,5.718783297593448,34.44989947636668,0.022670297406216053,42.192337703636575,,1.0055372790951873,1.0680108922186482,1.0355417144905068,0.8964473932908448,,,,,,,,,,,
111,D0202 SP1 L1 / D0202 SP1 L1 / Spennir,2025-09-01 12:00,2025-10-01 12:00,15m,285.5219666120361,296.93781890070846,250.4768270826126,Input01,Input02,Input03,3.2617980814311704,5.5779744959616435,34.2398756268897,0.02316176414530472,41.93511207111955,,1.00506946007325,1.0283686500070208,1.0694852924359142,0.9021460575570649,,,,,,,,,,,
124,D0202 SP2 L1 / D0202 SP2 L1 / Spennir,2025-09-01 12:00,2025-10-01 12:00,15m,179.64724146525066,161.60701581107244,176.43757735358344,Input01,Input02,Input03,2.116496404351451,3.484742166558416,13.61001152374905,0.01368245762206965,16.668791813290003,,1.0020734597556702,1.0410473728662089,0.9365051078694565,1.0224475192643352,,,,,,,,,,,
132,D0670 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,229.6932423591614,198.51762253620007,183.99048281598974,L1,L2,L3,4.185898406002889,7.465315082043922,33.02372525754436,0.04185898406002889,40.445638143422165,,1.0087294084981684,1.1255769521800867,0.9728055481011443,0.901617499718769,,,,,,,,,,,
133,D0537 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,180.61687610911375,176.47456685273468,166.79907381410428,L1,L2,L3,1.494796755005145,2.6375362509031253,10.02838557595564,0.011427394958979802,12.282213802488318,,1.0010992645623846,1.0342821848769395,1.010561717773215,0.9551560973498456,,,,,,,,,,,
