device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,Va_avg,Vb_avg,Vc_avg,I4_avg,I4_label,Ia_label,Ib_label,Ic_label,Va_label,Vb_label,Vc_label,cur_dev_ratio,cur_ratio,dib,neutral_from_trms_120deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
1,D0029 SP1 L2,2025-09-01 12:00,2025-10-01 12:00,15m,228.28876682387457,220.7264891465505,225.28602675331965,234.90192011197408,234.6065293629964,234.48566452132332,,,L1,L2,L3,L1,L2,L3,1.2976118389065217,2.2519600347053443,0.011679451122112468,14.96007018533976,,,0.0010271038519596755,
4,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,159.9642208737661,132.2316344122537,148.18773134790285,234.8923416975354,234.263554080097,234.18613073644693,40.278385873525664,Input04,Input01,Input02,Input03,L1,L2,L3,4.5325743719613145,8.022184242710667,0.03852842652722801,29.388855339152894,0.09085833094838004,0.0798797398534947,0.0018985086129623037,0.14213695128969644
5,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,36.673276138556965,17.079856529746813,0.0,234.8923416975354,234.263554080097,234.18613073644693,50.605652840555265,Input08,Input05,Input06,Input07,L1,L2,L3,44.93192565125314,75.84288383279828,0.4250955049946497,34.46472981240402,,,0.0018985086129623037,0.14213695128969644
8,D0029 SP1 L1 / Mod1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,14.252894448459175,0.0,0.0,234.8923416975354,234.263554080097,234.18613073644693,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,66.66666666666703,100.0,0.6666666666666811,14.252894448459175,,,0.0018985086129623037,0.14213695128969644
9,D0029 SP1 L1 / Mod1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,0.0,0.0,0.0,234.8923416975354,234.263554080097,234.18613073644693,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0018985086129623037,0.14213695128969644
12,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,69.12461676862505,66.64334143665101,72.66379361285104,236.34046188990274,235.52221299277412,235.7693708790673,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,2.6378099136321804,4.573577219991933,0.023347150699807993,8.834330534288798,0.07625621217377465,0.058162772244433364,0.0019648691511727386,0.1838042321459695
13,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,0.0,0.0,0.0,236.34046188990274,235.52221299277412,235.7693708790673,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0019648691511727386,0.1838042321459695
16,D0411 SP1 L1 / Mod1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,0.0,18.0856117112769,20.325970260302224,236.34046188990274,235.52221299277412,235.7693708790673,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,33.33340863850389,54.5406391657794,0.21207305832446086,19.517717022516123,,,0.0019648691511727386,0.1838042321459695
17,D0411 SP1 L1 / Mod1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,0.0,0.0,0.0,236.34046188990274,235.52221299277412,235.7693708790673,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0019648691511727386,0.1838042321459695
20,D0411 SP2 L1 / D0411 Grensásvegur 1 SP2 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,71.50137159691917,78.11130366590288,81.00373562971751,235.93501972092523,235.3043630335066,235.4491431289249,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,4.015251264077777,7.0201519881740095,0.034782849077580544,14.236976378489812,0.0596743658771617,0.10089263359790043,0.0015867358514632273,0.15474350698535386
21,D0411 SP2 L1 / D0411 Grensásvegur 1 SP2 L1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,22.45967683477534,32.976999181509015,1.741830016920964,235.93501972092523,235.3043630335066,235.4491431289249,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,34.974669908642745,62.698111486198336,0.3262214652916948,31.494242362796502,,,0.0015867358514632273,0.15474350698535386
24,D0411 SP2 L1 / Mod 1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,8.897528009613355,0.5687637236383226,0.0,235.93501972092523,235.3043630335066,235.4491431289249,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,59.46093900515128,92.79427233848453,0.5946093900515133,8.631280553178694,,,0.0015867358514632273,0.15474350698535386
25,D0411 SP2 L1 / Mod 1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,0.0,0.0,0.0,235.93501972092523,235.3043630335066,235.4491431289249,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0015867358514632273,0.15474350698535386
29,D0690 SP1 L1 / D0690 Arnarsmári 28 SP1 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,130.42490315147472,123.7911459010854,153.45856970852967,233.6024400897223,232.8393360388366,233.3114498889707,20.056526555084197,Input04,Input01,Input02,Input03,L1,L2,L3,5.766519180575786,9.877568187716033,0.05365872456468101,36.893337209398524,0.11632862060945973,0.09852573678094108,0.0016902920823824849,0.19724450961961898
30,D0690 SP1 L1 / D0690 Arnarsmári 28 SP1 L1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,19.960600355425903,24.79771380873346,0.0,233.6024400897223,232.8393360388366,233.3114498889707,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,34.08975052416908,59.30238533655029,0.2596905200321696,24.230449992003894,,,0.0016902920823824849,0.19724450961961898
33,D0690 SP1 L1 / Mod 1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,0.0,0.0,0.0,233.6024400897223,232.8393360388366,233.3114498889707,31.20083807043915,Input04,Input01,Input02,Input03,L1,L2,L3,0.0,0.0,,0.0,,,0.0016902920823824849,0.19724450961961898
34,D0690 SP1 L1 / Mod 1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,0.0,0.0,0.0,233.6024400897223,232.8393360388366,233.3114498889707,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0016902920823824849,0.19724450961961898
36,D0690 SP2 L1 / D0690 Arnarsmári 28 SP2 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,121.08766036780604,108.12023926443754,87.78866675464012,233.55190166593965,232.8577296848966,233.37234156808327,18.56668610918973,Input04,Input01,Input02,Input03,L1,L2,L3,7.326884154153539,12.742091892104693,0.06427204476663592,37.92234976543332,0.11598080085073514,0.13937331765204314,0.0016394409862716015,0.27559426006758486
37,D0690 SP2 L1 / D0690 Arnarsmári 28 SP2 L1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,20.783501904306416,27.551583762796607,34.38668966806775,233.55190166593965,232.8577296848966,233.37234156808327,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,12.834771659956049,22.4129942167233,0.11644211736306745,16.158192483338144,,,0.0016394409862716015,0.27559426006758486
42,D0076 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,285.46627408486825,276.78765923535383,239.60944512861747,239.01347490240028,238.61494631590668,239.1586534641407,0.5066528917462737,L4,L1,L2,L3,L1,L2,L3,3.5954417726818217,6.19743095388256,0.02747256322347187,46.48111882982712,,,0.0012461708117994096,
111,D0202 SP1 L1 / D0202 SP1 L1 / Spennir,2025-09-01 12:00,2025-10-01 12:00,15m,285.5219666120361,296.93781890070846,250.4768270826126,234.70462799642473,234.0919649098486,234.553567980437,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,4.277012634149802,7.397457248174891,0.03683174760394738,54.355785837907625,,,0.0012912592768947791,
112,D0202 SP1 L1 / Mod2 / LR04 GSK14484 Skápur við Kleifarás 13,2025-09-01 12:00,2025-10-01 12:00,15m,37.685037519186956,49.54443301641353,35.152935621806144,234.70462799642473,234.0919649098486,234.553567980437,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,11.585931473155899,19.55640880788409,0.10858043903336384,21.503562237780233,,,0.0012912592768947791,
114,D0202 SP1 L1 / D0202 SP1 L1 / LR01 GSK 14276 Skápur við Fylgisveg 9A,2025-09-01 12:00,2025-10-01 12:00,15m,61.571639934106436,55.875257480661254,49.75292117071793,234.70462799642473,234.0919649098486,234.553567980437,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,6.64254927789064,11.370605765044399,0.06005036402659262,16.00384588887295,,,0.0012912592768947791,
115,D0202 SP1 L1 / Mod2 / LR05 GSK14501 Skápur við Lækjarás 13,2025-09-01 12:00,2025-10-01 12:00,15m,46.28260674711834,55.516075884101994,40.081264512243116,234.70462799642473,234.0919649098486,234.553567980437,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,11.015141936014828,18.83778157915708,0.10070235597350914,24.219886113949375,,,0.0012912592768947791,
