device_id,cur_ratio,type
149,5.309093886163183,JanitzaUMG801MeasurementGroup
202,5.279573336262314,JanitzaUMG801MeasurementGroup
177,5.151620393604259,JanitzaUMG801MeasurementGroup
431,5.064060961318164,JanitzaUMG96PQ_L
365,4.944287656628213,JanitzaUMG801MeasurementGroup
240,4.855843322224271,JanitzaUMG801MeasurementGroup
440,4.546572781899076,JanitzaUMG801MeasurementGroup
335,4.301893946769276,JanitzaUMG509
394,4.2409255933433405,JanitzaUMG96RME
379,4.021430511863393,JanitzaUMG96RME
334,3.863382871168623,JanitzaUMG96RME
146,3.852863579431359,JanitzaUMG96RME
386,3.840466710229308,JanitzaUMG96RME
456,3.610515795032261,JanitzaUMG801MeasurementGroup
301,3.389540421515925,JanitzaUMG801MeasurementGroup
395,3.375895801861734,JanitzaUMG96RME
118,3.261339802545167,JanitzaUMG801MeasurementGroup
430,3.13405489582703,JanitzaUMG96PQ_L
408,3.0846829942339093,JanitzaUMG801MeasurementGroup
120,3.0798903047158586,JanitzaUMG801MeasurementGroup
384,3.016233442838361,JanitzaUMG96RME
117,2.9769791086523663,JanitzaUMG801MeasurementGroup
433,2.91775342811554,JanitzaUMG96RME
385,2.7984423042286743,JanitzaUMG96RME
331,2.72439831980776,JanitzaUMG96RME
133,2.671324221869403,JanitzaUMG605
373,2.5064177904768945,JanitzaUMG96RME
119,2.385549904843152,JanitzaUMG801MeasurementGroup
309,2.3475747633153974,JanitzaUMG801MeasurementGroup
369,2.3068352110869097,JanitzaUMG96RME
344,2.2194521929801287,JanitzaUMG605
144,2.172598478293717,JanitzaUMG96RME
354,2.0941581214747096,JanitzaUMG801MeasurementGroup
261,1.912063804859316,JanitzaUMG801MeasurementGroup
389,1.7896713109202709,JanitzaUMG96RME
280,1.775450474700082,JanitzaUMG801MeasurementGroup
272,1.6737428236061096,JanitzaUMG801MeasurementGroup
12,1.6642939856914434,JanitzaUMG801MeasurementGroup
392,1.4023088821590546,JanitzaUMG96RME
383,1.3184848582682616,JanitzaUMG509
445,1.277267624013949,JanitzaUMG96PQ_L
378,1.2319173931000542,JanitzaUMG96RME
134,1.19282839302188,JanitzaUMG605
436,1.0176434578349742,JanitzaUMG96PQ_L
452,0.8829031055906154,JanitzaUMG801MeasurementGroup
1,0.8696713000347813,JanitzaUMG96RME
324,0.6275525714559743,JanitzaUMG512
20,0.3693307258444659,JanitzaUMG801MeasurementGroup
323,0.0679367782104093,JanitzaUMG512
9,0.0,JanitzaUMG801MeasurementGroup
13,0.0,JanitzaUMG801MeasurementGroup
17,0.0,JanitzaUMG801MeasurementGroup
33,0.0,JanitzaUMG801MeasurementGroup
34,0.0,JanitzaUMG801MeasurementGroup
173,0.0,JanitzaUMG801MeasurementGroup
174,0.0,JanitzaUMG801MeasurementGroup
178,0.0,JanitzaUMG801MeasurementGroup
181,0.0,JanitzaUMG801MeasurementGroup
182,0.0,JanitzaUMG801MeasurementGroup
203,0.0,JanitzaUMG801MeasurementGroup
212,0.0,JanitzaUMG801MeasurementGroup
227,0.0,JanitzaUMG801MeasurementGroup
228,0.0,JanitzaUMG801MeasurementGroup
