device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,Va_avg,Vb_avg,Vc_avg,I4_avg,I4_label,Ia_label,Ib_label,Ic_label,Va_label,Vb_label,Vc_label,cur_dev_ratio,cur_ratio,dib,neutral_from_trms_120deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
1,D0029 SP1 L2,2025-09-01 12:00,2025-10-01 12:00,15m,228.28876682387457,220.7264891465505,225.28602675331965,234.90192011197408,234.6065293629964,234.48566452132332,,,L1,L2,L3,L1,L2,L3,0.5992284455364374,1.1214983377722951,0.005222698922358578,6.595220799480639,,,0.001010869729561695,
4,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,159.9642208737661,132.2316344122537,148.18773134790285,234.8923416975354,234.263554080097,234.18613073644693,40.278385873525664,Input04,Input01,Input02,Input03,L1,L2,L3,3.30686585688449,6.297370588555936,0.029905047316714464,24.107873058586637,0.08427399694458024,0.07344504230637779,0.0018980787841491806,0.1420520455745242
5,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,36.673276138556965,17.079856529746813,0.0,234.8923416975354,234.263554080097,234.18613073644693,50.605652840555265,Input08,Input05,Input06,Input07,L1,L2,L3,34.89204129712394,68.22537463045727,0.3489204129712394,31.784845239347103,,,0.0018980787841491806,0.1420520455745242
8,D0029 SP1 L1 / Mod1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,14.252894448459175,0.0,0.0,234.8923416975354,234.263554080097,234.18613073644693,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,66.66666666666666,100.0,0.6666666666666666,14.252894448459175,,,0.0018980787841491806,0.1420520455745242
9,D0029 SP1 L1 / Mod1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,0.0,0.0,0.0,234.8923416975354,234.263554080097,234.18613073644693,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0018980787841491806,0.1420520455745242
12,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,69.12461676862505,66.64334143665101,72.66379361285104,236.34046188990274,235.52221299277412,235.7693708790673,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,1.5288184161063825,2.8884525144006545,0.015288184161063825,5.240627081451137,0.07742066667730876,0.060698778833712365,0.0019633648819118235,0.18369676721096298
13,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,0.0,0.0,0.0,236.34046188990274,235.52221299277412,235.7693708790673,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0019633648819118235,0.18369676721096298
16,D0411 SP1 L1 / Mod1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,0.0,18.0856117112769,20.325970260302224,236.34046188990274,235.52221299277412,235.7693708790673,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,33.33333333333333,52.91625394481666,0.1958292061148333,19.30354403240448,,,0.0019633648819118235,0.18369676721096298
17,D0411 SP1 L1 / Mod1 / Measurement Group 2,2025-09-01 12:00,2025-10-01 12:00,15m,0.0,0.0,0.0,236.34046188990274,235.52221299277412,235.7693708790673,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0019633648819118235,0.18369676721096298
20,D0411 SP2 L1 / D0411 Grensásvegur 1 SP2 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,71.50137159691917,78.11130366590288,81.00373562971751,235.93501972092523,235.3043630335066,235.4491431289249,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,2.3288738847658617,4.120419703013313,0.01791545818247451,8.436595487330573,0.06156520300767605,0.09555984647063892,0.0015799510513111225,0.15461074713344009
