device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,cur_dev_ratio,cur_ratio,current_unbalance_rms,dib,neutral_from_trms_120deg,neutral_from_trms_and_pf,phase_unbalance_metrics.UC,phase_unbalance_metrics.Unbalance_a,phase_unbalance_metrics.Unbalance_b,phase_unbalance_metrics.Unbalance_c,sequence_unbalance_factors.I0,sequence_unbalance_factors.I1,sequence_unbalance_factors.I2,sequence_unbalance_factors.M0,sequence_unbalance_factors.M0_angle_deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2,sequence_unbalance_factors.M2_angle_deg,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
4,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,159.9642208737661,132.2316344122537,148.18773134790285,3.30686585688449,6.297370588555936,19.68399592577569,0.029905047316714464,24.107873058586637,,1.0059935694121371,1.0897151419501434,0.9007940242934653,1.0094908337563913,,,,,,,,,,,
12,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,69.12461676862505,66.64334143665101,72.66379361285104,1.5288184161063825,2.8884525144006545,4.278954093922455,0.015288184161063825,5.240627081451137,,1.0012643541892192,0.9949244704656369,0.9592109770511719,1.0458645524831915,,,,,,,,,,,
20,D0411 SP2 L1 / D0411 Grensásvegur 1 SP2 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,71.50137159691917,78.11130366590288,81.00373562971751,2.3288738847658617,4.120419703013313,6.888451370075739,0.01791545818247451,8.436595487330573,,1.0026766034323278,0.9301337834570241,1.0161198419955522,1.0537463745474236,,,,,,,,,,,
29,D0690 SP1 L1 / D0690 Arnarsmári 28 SP1 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,130.42490315147472,123.7911459010854,153.45856970852967,4.309081142918677,7.277231017619548,22.020540151482443,0.04309081142918677,26.969543615801093,,1.0087528571923081,0.9597720619534656,0.9109555037589739,1.1292724342875602,,,,,,,,,,,
36,D0690 SP2 L1 / D0690 Arnarsmári 28 SP2 L1 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,121.08766036780604,108.12023926443754,87.78866675464012,5.639447637581985,10.504528169723331,23.73710054213927,0.04865080532141345,29.071892150691706,,1.0168216067965714,1.1459524159642402,1.023231013163219,0.8308165708725405,,,,,,,,,,,
111,D0202 SP1 L1 / D0202 SP1 L1 / Spennir,2025-09-01 12:00,2025-10-01 12:00,15m,285.5219666120361,296.93781890070846,250.4768270826126,3.2617980814311704,5.5779744959616435,34.2398756268897,0.02316176414530472,41.93511207111955,,1.00506946007325,1.0283686500070208,1.0694852924359142,0.9021460575570649,,,,,,,,,,,
124,D0202 SP2 L1 / D0202 SP2 L1 / Spennir,2025-09-01 12:00,2025-10-01 12:00,15m,179.64724146525066,161.60701581107244,176.43757735358344,2.116496404351451,3.484742166558416,13.61001152374905,0.01368245762206965,16.668791813290003,,1.0020734597556702,1.0410473728662089,0.9365051078694565,1.0224475192643352,,,,,,,,,,,
149,D0841 SP1 L1 / UMG801-4700-2312 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,236.9667295164532,206.29777584340837,225.56331850952571,2.488657247654303,4.585478142284051,21.922466681559296,0.020968208946297476,26.84942863649301,,1.0032230825464028,1.0629046268388924,0.9253402825703709,1.0117550905907364,,,,,,,,,,,
161,D1496 SP1 L1 / UMG801-4700-2682 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,170.1938452049857,154.6715140678933,141.3251178896481,3.1740286876311883,6.192474692114558,20.432592197137062,0.031740286876311884,25.024712502679634,,1.0057629041089549,1.0952208606289358,0.9953325195055654,0.9094466198654989,,,,,,,,,,,
169,D1457 SP1 L1 / UMG801-4700-2422 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,31.577935834725697,33.96968247426881,19.18078880243831,10.695366379449512,17.45446913970717,11.226769831740357,0.0675910276025766,13.749928773717812,,1.0526711510182465,1.1180879085757556,1.2027730828077299,0.6791390086165147,,,,,,,,,,,
177,D1457 SP2 L1 / UMG801-4700-2680 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,39.95432057811154,33.90382471134265,34.83470552066962,3.4255889695768955,5.566599662878048,4.60743955110816,0.034255889695768954,5.6429379604664245,,1.005390618377559,1.102767669087307,0.9357696792009654,0.9614626517117278,,,,,,,,,,,
