device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,Va_avg,Vb_avg,Vc_avg,I4_avg,I4_label,Ia_label,Ib_label,Ic_label,Va_label,Vb_label,Vc_label,cur_dev_ratio,cur_ratio,dib,neutral_from_trms_120deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
1,D0029 SP1 L2,2024-11-01 12:00,2025-11-01 12:00,15m,228.02978210414338,222.71223251668914,228.62045292010075,234.89632382198312,234.70505774172392,234.63465780889746,,,L1,L2,L3,L1,L2,L3,0.5507992432718773,0.8696713000347813,0.003188720567629041,5.636146465588418,,,0.0006431538121058259,
4,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,149.57628800868227,124.47836020542556,139.18484754156754,234.90333205693668,234.3848550023688,234.37535075891273,36.985003350114226,Input04,Input01,Input02,Input03,L1,L2,L3,3.2107624068064,6.0734581425623615,0.02862695735755962,21.842261613294205,0.0844687888523668,0.07325507839237166,0.0014871572795095791,0.12008561136580244
5,D0029 SP1 L1 / D0029 Borgartún 20 SP1 L1 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,35.54911542434375,16.95577614761062,0.0,234.90333205693668,234.3848550023688,234.37535075891273,45.29656326317124,Input08,Input05,Input06,Input07,L1,L2,L3,34.37295909015661,67.70629242348994,0.34372959090156613,30.797323079132244,,,0.0014871572795095791,0.12008561136580244
8,D0029 SP1 L1 / Mod1 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,15.185855111341565,0.0,0.0,234.90333205693668,234.3848550023688,234.37535075891273,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,66.66666666666667,100.0,0.6666666666666667,15.185855111341565,,,0.0014871572795095791,0.12008561136580244
9,D0029 SP1 L1 / Mod1 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,0.0,0.0,234.90333205693668,234.3848550023688,234.37535075891273,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0014871572795095791,0.12008561136580244
12,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,58.421091387259224,55.56233375813037,57.78656583617129,236.31071591680777,235.52544016924367,235.88719718407407,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,0.9863945923894277,1.6642939856914434,0.006778993933020158,2.6002236628867887,0.07551616324132925,0.07072840431843261,0.0017080042289299427,0.1850754120996982
13,D0411 SP1 L1 / D0411 Grensásvegur 1 SP1 L1 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,0.0,0.0,236.31071591680777,235.52544016924367,235.88719718407407,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0017080042289299427,0.1850754120996982
16,D0411 SP1 L1 / Mod1 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,17.658000202928086,14.949425384273825,236.31071591680777,235.52544016924367,235.88719718407407,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,33.333333333333336,54.1533098211184,0.20819976487785066,16.47159172689189,,,0.0017080042289299427,0.1850754120996982
17,D0411 SP1 L1 / Mod1 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,0.0,0.0,236.31071591680777,235.52544016924367,235.88719718407407,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.0017080042289299427,0.1850754120996982
20,D0411 SP2 L1 / D0411 Grensásvegur 1 SP2 L1 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,160.9628241850721,161.73348770864808,162.75574780076866,235.35630870616941,234.72252728744095,235.05101215681458,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,0.1933032419025937,0.3693307258444659,0.001933032419025937,1.5578050350151054,0.03851080720288927,0.043257534601613266,0.0013317801970040935,0.1558542984931947
