device_id,vuf_symmetrical
338,0.0071915879742614
339,0.0071915879742614
342,0.0071915879742614
343,0.0071915879742614
448,0.0057653930451174
449,0.0057653930451174
452,0.0057653930451174
453,0.0057653930451174
36,0.002753252903029
37,0.002753252903029
215,0.0024915251274989
216,0.0024915251274989
219,0.0024915251274989
220,0.0024915251274989
149,0.0024389198633978
150,0.0024389198633978
153,0.0024389198633978
154,0.0024389198633978
161,0.0023489730354217
162,0.0023489730354217
165,0.0023489730354217
166,0.0023489730354217
169,0.0023267937013482
170,0.0023267937013482
173,0.0023267937013482
174,0.0023267937013482
285,0.0023250026139717
286,0.0023250026139717
289,0.0023250026139717
290,0.0023250026139717
207,0.0023035014492591
208,0.0023035014492591
211,0.0023035014492591
212,0.0023035014492591
317,0.0022437227901314
318,0.0022437227901314
321,0.0022437227901314
322,0.0022437227901314
365,0.0021897021876633
366,0.0021897021876633
223,0.002070822506733
224,0.002070822506733
227,0.002070822506733
228,0.002070822506733
240,0.0020221245411882
241,0.0020221245411882
244,0.0020221245411882
245,0.0020221245411882
253,0.0020193846573319
254,0.0020193846573319
257,0.0020193846573319
258,0.0020193846573319
29,0.0019709543003885
30,0.0019709543003885
33,0.0019709543003885
34,0.0019709543003885
301,0.0019549875731498
302,0.0019549875731498
305,0.0019549875731498
306,0.0019549875731498
177,0.0019457788384788
178,0.0019457788384788
181,0.0019457788384788
182,0.0019457788384788
202,0.0019296493130242
203,0.0019296493130242
348,0.0018937654859992
349,0.0018937654859992
309,0.0018383486638523
310,0.0018383486638523
313,0.0018383486638523
314,0.0018383486638523
12,0.0018369676721096
13,0.0018369676721096
16,0.0018369676721096
17,0.0018369676721096
272,0.0017911364016363
273,0.0017911364016363
276,0.0017911364016363
277,0.0017911364016363
261,0.0016459328270918
262,0.0016459328270918
265,0.0016459328270918
266,0.0016459328270918
268,0.0016459328270918
269,0.0016459328270918
400,0.0015910959166163
401,0.0015910959166163
404,0.0015910959166163
405,0.0015910959166163
20,0.0015461074713344
21,0.0015461074713344
24,0.0015461074713344
25,0.0015461074713344
440,0.0014985100293722
441,0.0014985100293722
328,0.0014564471936214
329,0.0014564471936214
4,0.0014205204557452
5,0.0014205204557452
8,0.0014205204557452
9,0.0014205204557452
232,0.0013974811105811
233,0.0013974811105811
236,0.0013974811105811
237,0.0013974811105811
293,0.0013521440661012
294,0.0013521440661012
297,0.0013521440661012
298,0.0013521440661012
354,0.001308419662488
355,0.001308419662488
358,0.001308419662488
359,0.001308419662488
280,0.0011463183458877
281,0.0011463183458877
