device_id,dib
211,0.6666666666666667
233,0.6666666666666667
249,0.6666666666666667
257,0.6666666666666667
302,0.6666666666666667
349,0.6666666666666667
8,0.6666666666666666
153,0.6666666666666666
244,0.6666666666666666
277,0.6666666666666666
298,0.6666666666666666
305,0.6666666666666666
318,0.6666666666666666
339,0.6666666666666666
358,0.6666666666666666
366,0.6666666666666666
321,0.6666666666666665
286,0.6666374403211253
236,0.6662241272868399
461,0.6629676520138972
449,0.6617436715318156
453,0.6606608886274018
237,0.6605972405537357
208,0.6085520800524269
24,0.6065836120064706
232,0.5674526567809802
245,0.5596094876518096
331,0.5249461485639838
404,0.4913077413354703
329,0.4310149720874308
401,0.4106456543875113
273,0.3989398909562723
150,0.3726008197844748
294,0.3516998396378424
5,0.3489204129712394
224,0.3328787667546301
297,0.3326266749533004
409,0.2943855764401537
265,0.2939849272129486
262,0.2590416949917758
21,0.2434043513196769
30,0.2207025876306082
170,0.2205190061368431
16,0.1958292061148333
460,0.1818599569744719
342,0.1759041081792579
266,0.1705997250197687
361,0.156871352700124
162,0.1488615535265471
241,0.1405784996740952
355,0.1268254372160023
457,0.1263551955256287
223,0.1205690611894013
310,0.1104036304820603
332,0.1081900988554773
129,0.1068200657318834
448,0.105094943212641
377,0.0998362665618966
462,0.090952126555317
317,0.0906501949202835
371,0.0905913650388019
281,0.0872893213604501
37,0.0823575718574741
215,0.0820924489946048
157,0.080979653037775
155,0.078313428201926
156,0.0748656862304061
130,0.0736984027328421
388,0.0717917837782881
112,0.0714996371239572
362,0.0683287531826426
169,0.0675910276025766
375,0.0643532224244723
285,0.0630547212160441
293,0.0627681501786745
254,0.0619302880409253
128,0.060770024452268
333,0.0607029676795968
125,0.0601711663610508
248,0.0601135961573582
400,0.0593293325523137
115,0.0579557600292847
131,0.0578245891005811
338,0.0575471641210856
391,0.0552257990630274
216,0.0551135324446276
370,0.0544735463137716
385,0.0513638262171004
386,0.0501884049520578
387,0.0493681173683983
36,0.0486508053214134
380,0.046145466977435
372,0.0441564337969954
29,0.0430908114291867
132,0.0418589840600288
360,0.0408483374995976
348,0.0401931528527484
376,0.0392075295682004
145,0.0381208839584692
229,0.0370831907086908
368,0.0363806104544471
443,0.0361862446159909
381,0.0356586970378489
114,0.0349185012380433
177,0.0342558896957689
207,0.0329798559197272
202,0.032880991748261
390,0.0326476436236925
382,0.0324832226984056
161,0.0317402868763118
119,0.0311405266963903
440,0.0307727710157589
253,0.0305700922001309
4,0.0299050473167144
431,0.0296303271416406
394,0.0234505226281848
111,0.0231617641453047
42,0.022670297406216
379,0.0223392147212565
408,0.0214243466059718
146,0.0213798723044378
149,0.0209682089462974
430,0.0205901369493717
456,0.0202866401558808
328,0.0195985795593734
240,0.0194306248987708
365,0.0187919489111221
395,0.0180910616389897
20,0.0179154581824745
335,0.0155587633979404
12,0.0152881841610638
334,0.0150458920786347
280,0.014883868097611
124,0.0136824576220696
120,0.0133310487258216
118,0.0132388930276277
117,0.012938394047937
344,0.0118614301659194
133,0.0114273949589798
354,0.0110024151840366
384,0.0104000176233453
144,0.0102319420025643
309,0.0101786396203321
369,0.0101620985719404
389,0.0099385187064989
373,0.0098988235011024
383,0.0085346736396292
392,0.0080441909846292
301,0.0078822484404865
134,0.0067255058250763
452,0.0065938576635703
261,0.0060210588172953
378,0.005682650327909
1,0.0052226989223585
272,0.0044322124751435
436,0.0039301748878784
323,0.000374424713677
324,0.0001627002059182
